PokeID,Rank,Type,Pokemon,Icon,Details Link,Metric,Values
P1000-1,1,Grass,Bulbasaur,https://img.pokemondb.net/sprites/sword-shield/icon/bulbasaur.png,https://pokemondb.net/pokedex/bulbasaur,Attack,114
P1001-1,1,Poison,Bulbasaur,https://img.pokemondb.net/sprites/sword-shield/icon/bulbasaur.png,https://pokemondb.net/pokedex/bulbasaur,Attack,114
P1002-2,2,Grass,Ivysaur,https://img.pokemondb.net/sprites/sword-shield/icon/ivysaur.png,https://pokemondb.net/pokedex/ivysaur,Attack,142
P1003-2,2,Poison,Ivysaur,https://img.pokemondb.net/sprites/sword-shield/icon/ivysaur.png,https://pokemondb.net/pokedex/ivysaur,Attack,142
P1004-3,3,Grass,Venusaur,https://img.pokemondb.net/sprites/sword-shield/icon/venusaur.png,https://pokemondb.net/pokedex/venusaur,Attack,182
P1005-3,3,Poison,Venusaur,https://img.pokemondb.net/sprites/sword-shield/icon/venusaur.png,https://pokemondb.net/pokedex/venusaur,Attack,182
P1006-3,3,Grass,Venusaur-Mega Venusaur,https://img.pokemondb.net/sprites/sword-shield/icon/venusaur-mega.png,https://pokemondb.net/pokedex/venusaur,Attack,222
P1007-3,3,Poison,Venusaur-Mega Venusaur,https://img.pokemondb.net/sprites/sword-shield/icon/venusaur-mega.png,https://pokemondb.net/pokedex/venusaur,Attack,222
P1008-4,4,Fire,Charmander,https://img.pokemondb.net/sprites/sword-shield/icon/charmander.png,https://pokemondb.net/pokedex/charmander,Attack,112
P1009-5,5,Fire,Charmeleon,https://img.pokemondb.net/sprites/sword-shield/icon/charmeleon.png,https://pokemondb.net/pokedex/charmeleon,Attack,144
P1010-6,6,Fire,Charizard,https://img.pokemondb.net/sprites/sword-shield/icon/charizard.png,https://pokemondb.net/pokedex/charizard,Attack,193
P1011-6,6,Flying,Charizard,https://img.pokemondb.net/sprites/sword-shield/icon/charizard.png,https://pokemondb.net/pokedex/charizard,Attack,193
P1012-6,6,Fire,Charizard-Mega Charizard X,https://img.pokemondb.net/sprites/sword-shield/icon/charizard-mega-x.png,https://pokemondb.net/pokedex/charizard,Attack,260
P1013-6,6,Dragon,Charizard-Mega Charizard X,https://img.pokemondb.net/sprites/sword-shield/icon/charizard-mega-x.png,https://pokemondb.net/pokedex/charizard,Attack,260
P1014-6,6,Fire,Charizard-Mega Charizard Y,https://img.pokemondb.net/sprites/sword-shield/icon/charizard-mega-y.png,https://pokemondb.net/pokedex/charizard,Attack,263
P1015-6,6,Flying,Charizard-Mega Charizard Y,https://img.pokemondb.net/sprites/sword-shield/icon/charizard-mega-y.png,https://pokemondb.net/pokedex/charizard,Attack,263
P1016-7,7,Water,Squirtle,https://img.pokemondb.net/sprites/sword-shield/icon/squirtle.png,https://pokemondb.net/pokedex/squirtle,Attack,98
P1017-8,8,Water,Wartortle,https://img.pokemondb.net/sprites/sword-shield/icon/wartortle.png,https://pokemondb.net/pokedex/wartortle,Attack,128
P1018-9,9,Water,Blastoise,https://img.pokemondb.net/sprites/sword-shield/icon/blastoise.png,https://pokemondb.net/pokedex/blastoise,Attack,168
P1019-9,9,Water,Blastoise-Mega Blastoise,https://img.pokemondb.net/sprites/sword-shield/icon/blastoise-mega.png,https://pokemondb.net/pokedex/blastoise,Attack,238
P1020-10,10,Bug,Caterpie,https://img.pokemondb.net/sprites/sword-shield/icon/caterpie.png,https://pokemondb.net/pokedex/caterpie,Attack,50
P1021-11,11,Bug,Metapod,https://img.pokemondb.net/sprites/sword-shield/icon/metapod.png,https://pokemondb.net/pokedex/metapod,Attack,45
P1022-12,12,Bug,Butterfree,https://img.pokemondb.net/sprites/sword-shield/icon/butterfree.png,https://pokemondb.net/pokedex/butterfree,Attack,135
P1023-12,12,Flying,Butterfree,https://img.pokemondb.net/sprites/sword-shield/icon/butterfree.png,https://pokemondb.net/pokedex/butterfree,Attack,135
P1024-13,13,Bug,Weedle,https://img.pokemondb.net/sprites/sword-shield/icon/weedle.png,https://pokemondb.net/pokedex/weedle,Attack,55
P1025-13,13,Poison,Weedle,https://img.pokemondb.net/sprites/sword-shield/icon/weedle.png,https://pokemondb.net/pokedex/weedle,Attack,55
P1026-14,14,Bug,Kakuna,https://img.pokemondb.net/sprites/sword-shield/icon/kakuna.png,https://pokemondb.net/pokedex/kakuna,Attack,50
P1027-14,14,Poison,Kakuna,https://img.pokemondb.net/sprites/sword-shield/icon/kakuna.png,https://pokemondb.net/pokedex/kakuna,Attack,50
P1028-15,15,Bug,Beedrill,https://img.pokemondb.net/sprites/sword-shield/icon/beedrill.png,https://pokemondb.net/pokedex/beedrill,Attack,135
P1029-15,15,Poison,Beedrill,https://img.pokemondb.net/sprites/sword-shield/icon/beedrill.png,https://pokemondb.net/pokedex/beedrill,Attack,135
P1030-15,15,Bug,Beedrill-Mega Beedrill,https://img.pokemondb.net/sprites/sword-shield/icon/beedrill-mega.png,https://pokemondb.net/pokedex/beedrill,Attack,165
P1031-15,15,Poison,Beedrill-Mega Beedrill,https://img.pokemondb.net/sprites/sword-shield/icon/beedrill-mega.png,https://pokemondb.net/pokedex/beedrill,Attack,165
P1032-16,16,Normal,Pidgey,https://img.pokemondb.net/sprites/sword-shield/icon/pidgey.png,https://pokemondb.net/pokedex/pidgey,Attack,80
P1033-16,16,Flying,Pidgey,https://img.pokemondb.net/sprites/sword-shield/icon/pidgey.png,https://pokemondb.net/pokedex/pidgey,Attack,80
P1034-17,17,Normal,Pidgeotto,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeotto.png,https://pokemondb.net/pokedex/pidgeotto,Attack,110
P1035-17,17,Flying,Pidgeotto,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeotto.png,https://pokemondb.net/pokedex/pidgeotto,Attack,110
P1036-18,18,Normal,Pidgeot,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot.png,https://pokemondb.net/pokedex/pidgeot,Attack,150
P1037-18,18,Flying,Pidgeot,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot.png,https://pokemondb.net/pokedex/pidgeot,Attack,150
P1038-18,18,Normal,Pidgeot-Mega Pidgeot,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot-mega.png,https://pokemondb.net/pokedex/pidgeot,Attack,215
P1039-18,18,Flying,Pidgeot-Mega Pidgeot,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot-mega.png,https://pokemondb.net/pokedex/pidgeot,Attack,215
P1040-19,19,Normal,Rattata,https://img.pokemondb.net/sprites/sword-shield/icon/rattata.png,https://pokemondb.net/pokedex/rattata,Attack,81
P1041-19,19,Dark,Rattata-Alolan Rattata,https://img.pokemondb.net/sprites/sword-shield/icon/rattata-alolan.png,https://pokemondb.net/pokedex/rattata,Attack,81
