rank,name,types,total_power,hit_points,attack,defense,special_attack,special_defense,speed,icon_url,details_url,scrape_ts
0001,Bulbasaur,"Grass, Poison",318,45,49,49,65,65,45,https://img.pokemondb.net/sprites/scarlet-violet/icon/bulbasaur.png,https://pokemondb.net/pokedex/bulbasaur,2024-02-24 15:05:21
0002,Ivysaur,"Grass, Poison",405,60,62,63,80,80,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/ivysaur.png,https://pokemondb.net/pokedex/ivysaur,2024-02-24 15:05:21
0003,Venusaur,"Grass, Poison",525,80,82,83,100,100,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/venusaur.png,https://pokemondb.net/pokedex/venusaur,2024-02-24 15:05:21
0003,Mega Venusaur,"Grass, Poison",625,80,100,123,122,120,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/venusaur-mega.png,https://pokemondb.net/pokedex/venusaur,2024-02-24 15:05:21
0004,Charmander,Fire,309,39,52,43,60,50,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/charmander.png,https://pokemondb.net/pokedex/charmander,2024-02-24 15:05:21
0005,Charmeleon,Fire,405,58,64,58,80,65,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/charmeleon.png,https://pokemondb.net/pokedex/charmeleon,2024-02-24 15:05:21
0006,Charizard,"Fire, Flying",534,78,84,78,109,85,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/charizard.png,https://pokemondb.net/pokedex/charizard,2024-02-24 15:05:21
0006,Mega Charizard X,"Fire, Dragon",634,78,130,111,130,85,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/charizard-mega-x.png,https://pokemondb.net/pokedex/charizard,2024-02-24 15:05:21
0006,Mega Charizard Y,"Fire, Flying",634,78,104,78,159,115,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/charizard-mega-y.png,https://pokemondb.net/pokedex/charizard,2024-02-24 15:05:21
0007,Squirtle,Water,314,44,48,65,50,64,43,https://img.pokemondb.net/sprites/scarlet-violet/icon/squirtle.png,https://pokemondb.net/pokedex/squirtle,2024-02-24 15:05:21
0008,Wartortle,Water,405,59,63,80,65,80,58,https://img.pokemondb.net/sprites/scarlet-violet/icon/wartortle.png,https://pokemondb.net/pokedex/wartortle,2024-02-24 15:05:21
0009,Blastoise,Water,530,79,83,100,85,105,78,https://img.pokemondb.net/sprites/scarlet-violet/icon/blastoise.png,https://pokemondb.net/pokedex/blastoise,2024-02-24 15:05:21
0009,Mega Blastoise,Water,630,79,103,120,135,115,78,https://img.pokemondb.net/sprites/scarlet-violet/icon/blastoise-mega.png,https://pokemondb.net/pokedex/blastoise,2024-02-24 15:05:21
0010,Caterpie,Bug,195,45,30,35,20,20,45,https://img.pokemondb.net/sprites/scarlet-violet/icon/caterpie.png,https://pokemondb.net/pokedex/caterpie,2024-02-24 15:05:21
0011,Metapod,Bug,205,50,20,55,25,25,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/metapod.png,https://pokemondb.net/pokedex/metapod,2024-02-24 15:05:21
0012,Butterfree,"Bug, Flying",395,60,45,50,90,80,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/butterfree.png,https://pokemondb.net/pokedex/butterfree,2024-02-24 15:05:21
0013,Weedle,"Bug, Poison",195,40,35,30,20,20,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/weedle.png,https://pokemondb.net/pokedex/weedle,2024-02-24 15:05:21
0014,Kakuna,"Bug, Poison",205,45,25,50,25,25,35,https://img.pokemondb.net/sprites/scarlet-violet/icon/kakuna.png,https://pokemondb.net/pokedex/kakuna,2024-02-24 15:05:21
0015,Beedrill,"Bug, Poison",395,65,90,40,45,80,75,https://img.pokemondb.net/sprites/scarlet-violet/icon/beedrill.png,https://pokemondb.net/pokedex/beedrill,2024-02-24 15:05:21
0015,Mega Beedrill,"Bug, Poison",495,65,150,40,15,80,145,https://img.pokemondb.net/sprites/scarlet-violet/icon/beedrill-mega.png,https://pokemondb.net/pokedex/beedrill,2024-02-24 15:05:21
0016,Pidgey,"Normal, Flying",251,40,45,40,35,35,56,https://img.pokemondb.net/sprites/scarlet-violet/icon/pidgey.png,https://pokemondb.net/pokedex/pidgey,2024-02-24 15:05:21
0017,Pidgeotto,"Normal, Flying",349,63,60,55,50,50,71,https://img.pokemondb.net/sprites/scarlet-violet/icon/pidgeotto.png,https://pokemondb.net/pokedex/pidgeotto,2024-02-24 15:05:21
0018,Pidgeot,"Normal, Flying",479,83,80,75,70,70,101,https://img.pokemondb.net/sprites/scarlet-violet/icon/pidgeot.png,https://pokemondb.net/pokedex/pidgeot,2024-02-24 15:05:21
0018,Mega Pidgeot,"Normal, Flying",579,83,80,80,135,80,121,https://img.pokemondb.net/sprites/scarlet-violet/icon/pidgeot-mega.png,https://pokemondb.net/pokedex/pidgeot,2024-02-24 15:05:21
0019,Rattata,Normal,253,30,56,35,25,35,72,https://img.pokemondb.net/sprites/scarlet-violet/icon/rattata.png,https://pokemondb.net/pokedex/rattata,2024-02-24 15:05:21
0019,Alolan Rattata,"Dark, Normal",253,30,56,35,25,35,72,https://img.pokemondb.net/sprites/scarlet-violet/icon/rattata-alolan.png,https://pokemondb.net/pokedex/rattata,2024-02-24 15:05:21
0020,Raticate,Normal,413,55,81,60,50,70,97,https://img.pokemondb.net/sprites/scarlet-violet/icon/raticate.png,https://pokemondb.net/pokedex/raticate,2024-02-24 15:05:21
0020,Alolan Raticate,"Dark, Normal",413,75,71,70,40,80,77,https://img.pokemondb.net/sprites/scarlet-violet/icon/raticate-alolan.png,https://pokemondb.net/pokedex/raticate,2024-02-24 15:05:21
0021,Spearow,"Normal, Flying",262,40,60,30,31,31,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/spearow.png,https://pokemondb.net/pokedex/spearow,2024-02-24 15:05:21
0022,Fearow,"Normal, Flying",442,65,90,65,61,61,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/fearow.png,https://pokemondb.net/pokedex/fearow,2024-02-24 15:05:21
0023,Ekans,Poison,288,35,60,44,40,54,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/ekans.png,https://pokemondb.net/pokedex/ekans,2024-02-24 15:05:21
0024,Arbok,Poison,448,60,95,69,65,79,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/arbok.png,https://pokemondb.net/pokedex/arbok,2024-02-24 15:05:21
