PokeID,Rank,Pokemon,Type,Metric,Values,Icon,Details Link,Data As On
P1000,1,Bulbasaur,Grass,HP,45,https://img.pokemondb.net/sprites/scarlet-violet/icon/bulbasaur.png,https://pokemondb.net/pokedex/bulbasaur,2024-09-01 23:45:28
P1000,1,Bulbasaur,Poison,HP,45,https://img.pokemondb.net/sprites/scarlet-violet/icon/bulbasaur.png,https://pokemondb.net/pokedex/bulbasaur,2024-09-01 23:45:28
P1001,2,Ivysaur,Grass,HP,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/ivysaur.png,https://pokemondb.net/pokedex/ivysaur,2024-09-01 23:45:28
P1001,2,Ivysaur,Poison,HP,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/ivysaur.png,https://pokemondb.net/pokedex/ivysaur,2024-09-01 23:45:28
P1002,3,Venusaur,Grass,HP,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/venusaur.png,https://pokemondb.net/pokedex/venusaur,2024-09-01 23:45:28
P1002,3,Venusaur,Poison,HP,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/venusaur.png,https://pokemondb.net/pokedex/venusaur,2024-09-01 23:45:28
P1003,3,Venusaur (Mega Venusaur),Grass,HP,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/venusaur-mega.png,https://pokemondb.net/pokedex/venusaur,2024-09-01 23:45:28
P1003,3,Venusaur (Mega Venusaur),Poison,HP,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/venusaur-mega.png,https://pokemondb.net/pokedex/venusaur,2024-09-01 23:45:28
P1004,4,Charmander,Fire,HP,39,https://img.pokemondb.net/sprites/scarlet-violet/icon/charmander.png,https://pokemondb.net/pokedex/charmander,2024-09-01 23:45:28
P1005,5,Charmeleon,Fire,HP,58,https://img.pokemondb.net/sprites/scarlet-violet/icon/charmeleon.png,https://pokemondb.net/pokedex/charmeleon,2024-09-01 23:45:28
P1006,6,Charizard,Fire,HP,78,https://img.pokemondb.net/sprites/scarlet-violet/icon/charizard.png,https://pokemondb.net/pokedex/charizard,2024-09-01 23:45:28
P1006,6,Charizard,Flying,HP,78,https://img.pokemondb.net/sprites/scarlet-violet/icon/charizard.png,https://pokemondb.net/pokedex/charizard,2024-09-01 23:45:28
P1007,6,Charizard (Mega Charizard X),Fire,HP,78,https://img.pokemondb.net/sprites/scarlet-violet/icon/charizard-mega-x.png,https://pokemondb.net/pokedex/charizard,2024-09-01 23:45:28
P1007,6,Charizard (Mega Charizard X),Dragon,HP,78,https://img.pokemondb.net/sprites/scarlet-violet/icon/charizard-mega-x.png,https://pokemondb.net/pokedex/charizard,2024-09-01 23:45:28
P1008,6,Charizard (Mega Charizard Y),Fire,HP,78,https://img.pokemondb.net/sprites/scarlet-violet/icon/charizard-mega-y.png,https://pokemondb.net/pokedex/charizard,2024-09-01 23:45:28
P1008,6,Charizard (Mega Charizard Y),Flying,HP,78,https://img.pokemondb.net/sprites/scarlet-violet/icon/charizard-mega-y.png,https://pokemondb.net/pokedex/charizard,2024-09-01 23:45:28
P1009,7,Squirtle,Water,HP,44,https://img.pokemondb.net/sprites/scarlet-violet/icon/squirtle.png,https://pokemondb.net/pokedex/squirtle,2024-09-01 23:45:28
P1010,8,Wartortle,Water,HP,59,https://img.pokemondb.net/sprites/scarlet-violet/icon/wartortle.png,https://pokemondb.net/pokedex/wartortle,2024-09-01 23:45:28
P1011,9,Blastoise,Water,HP,79,https://img.pokemondb.net/sprites/scarlet-violet/icon/blastoise.png,https://pokemondb.net/pokedex/blastoise,2024-09-01 23:45:28
P1012,9,Blastoise (Mega Blastoise),Water,HP,79,https://img.pokemondb.net/sprites/scarlet-violet/icon/blastoise-mega.png,https://pokemondb.net/pokedex/blastoise,2024-09-01 23:45:28
P1013,10,Caterpie,Bug,HP,45,https://img.pokemondb.net/sprites/scarlet-violet/icon/caterpie.png,https://pokemondb.net/pokedex/caterpie,2024-09-01 23:45:28
P1014,11,Metapod,Bug,HP,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/metapod.png,https://pokemondb.net/pokedex/metapod,2024-09-01 23:45:28
P1015,12,Butterfree,Bug,HP,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/butterfree.png,https://pokemondb.net/pokedex/butterfree,2024-09-01 23:45:28
P1015,12,Butterfree,Flying,HP,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/butterfree.png,https://pokemondb.net/pokedex/butterfree,2024-09-01 23:45:28
